,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8826578699340245,0.9356830253567838,0.8707922794162192,0.8826578699340245,0.8754617828204361,0.6976431946852593
Decision Tree,0.885956644674835,0.9447060230878707,0.8795685234175199,0.885956644674835,0.8780536218178832,0.7109356700913414
KNN,0.8868991517436381,0.9211993555675463,0.8767000566918373,0.8868991517436381,0.8804811112480391,0.7096386233823638
Naive Bayes,0.8770028275212064,0.927520331269747,0.8880302807073623,0.8770028275212064,0.857869933266154,0.6994176744159855
Random Forest,0.8920829406220546,0.9493487632391407,0.8828987925235934,0.8920829406220546,0.8855138384627024,0.7235478159924826
XGBoost,0.8934967012252591,0.9501644373040424,0.8845290067526532,0.8934967012252591,0.8872105429126287,0.7271934792963826
